Node,Lat,Lon,Grid Square,Desc,Firmware,API,Description,Uptime,Channel,Bandwidth 
"va7nm-cpe710-1","49.90835","-125.18937","CN79jv","","3.25.10.0","1.14","TP-Link CPE710 v2","29 days, 10:47:12","170","5",
"va7nm-cpe710-2","49.90690","-125.18904","CN79jv","","3.25.10.0","1.14","TP-Link CPE710 v2","19 days, 5:23:35","170","5",
"va7nm-mtw-ne","49.75283","-125.29657","CN79is","Mount Washington Summit NorthEast","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","38 days, 21:06:18","144","5",
"va7nm-shack","49.90408","-125.19826","CN79jv","","3.25.10.0","1.14","QEMU Standard PC (Q35 + ICH9, 2009)","13 days, 20:59:43","","",
"va7pam-500-landfill-east","49.256491","-124.861414","","VA7PAM LandFill East 90 deg Sector Antenna","3.25.5.1","1.14","Ubiquiti Rocket 5AC Lite","23 days, 21:21:01","181","20",
"va7pam-500-landfilleast","49.256491","-124.861414","","VA7PAM LandFill East 90 deg Sector Antenna","3.25.5.1","1.14","Ubiquiti Rocket 5AC Lite","23 days, 21:21:01","181","20",
"va7pam-500-ve7ku-link","49.256491","-124.861414","","Alberni Valley Landfill to VE7KU Mt Cokley","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","30 days, 6:39:47","173","5",
"va7pam-501-landfill-north","49.256491","-124.861414","CN79ng","","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","25 days, 4:20:57","178","20",
"va7rjq-hap-1","49.50","-123.78","CN89cm","","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","0 days, 22:44:53","-2","10",
"va7tuf-hap-1","48.81353","-123.45260","CN88gt","MID-ISLAND-AREDN-NETWORK","3.25.5.1","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","1 days, 0:29:10","","",
"va7tuf-hap-2","49.166894","-124.003395","","NANAIMO RV","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","5 days, 5:57:51","","",
"va7uld-hap-yvr1","49.23176","-122.90023","CN89nf","va7ul@va7ul.ca, New Westminster BC","3.25.10.0","1.14","MikroTik hAP ac3","29 days, 2:55:01","","",
"va7uld-hap-yvr2","49.23176","-122.90023","CN89nf","MeshPhone#2234, va7ul@va7ul.ca, New Westminster BC","3.25.10.0","1.14","MikroTik hAP ac3","55 days, 3:49:29","","",
"va7uld-xl5-yvr3","49.23176","-122.90023","CN89nf","MikroTik LHG-XL5ac,  New Westminster, BC.","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD-XL","25 days, 10:55:58","","",
"va7wpm-hap-1","49.234683","-123.973190","","","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","20 days, 3:02:22","-2","10",
"va7wtb-benson-link","49.237039","-123.858177","","","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","13 days, 5:45:37","172","5",
"va7wtb-hap","49.16541","-123.85820","CN89bd","","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","13 days, 5:46:22","","",
"ve3xbi-mount-albert","44.16894","-79.31600","FN04ie","VE3XBI Mobile Radio","3.25.10.0","1.14","Ubiquiti LiteBeam AC Gen2","7 days, 18:53:01","149","10",
"ve7ahe-2g-airgrid","49.28402","-124.84414","CN79ng","Portable 2.4 grid for Ecomm Trailer","3.25.5.1","1.14","Ubiquiti Bullet M (XM AR7241)","104 days, 9:52:57","-2","10",
"ve7ahe-501","49.28341","-124.84470","CN79ng","AHE E-Comm Trailer","3.25.10.0","1.14","Ubiquiti PowerBeam M5 (XW)","65 days, 7:02:39","149","20",
"ve7bef-hap-1","49.17183","-123.78053","CN89ce","Local node on Gabriola island","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","13 days, 20:30:05","","",
"ve7bef-sxt5hp-link","49.17182","-123.78054","CN89ce","Link to VA7MPG-DISH1","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD","13 days, 20:29:23","144","10",
"ve7cvw-5g30-1","49.71052","-124.97125","CN79mr","Comox Valley Amateur Radio Club Dish Antenna","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","22 days, 8:59:38","131","5",
"ve7cvw-hapac3-1","49.71052","-124.97125","CN79mr","Comox Valley Amateur Radio Club","3.25.10.0","1.14","MikroTik hAP ac3","22 days, 9:00:16","","",
"ve7emo-to-ve7urc","49.233559","-124.805492","","EMO Radio Room","3.25.10.0","1.14","Ubiquiti Nanostation Loco M (XW)","12 days, 12:36:17","178","10",
"ve7gde-hap-1","49.212803","-123.994617","CN89af","MID-ISLAND-AREDN-NETWORK","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","1 days, 5:32:08","","",
"ve7kgv-hap-1","49.30333","-124.34113","CN79th","","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","46 days, 16:25:58","","",
"ve7kod-ap","49.3135","-124.313","CN79uh","Home Access Point for AREDN Network","20250928-dadf66e3","1.14","MikroTik hAP ac3","7 days, 18:11:15","","",
"ve7kod-benson","49.3133","-124.3135","","Link to Mt Benson North East sector","20250928-dadf66e3","1.14","Ubiquiti PowerBeam 5AC Gen2","7 days, 18:10:29","133","5",
"ve7kod-cokley","49.3136","-124.3135","CN79uh","Parksville BC Link to Mt Cokley NE - MIR-KU","20250928-dadf66e3","1.14","Ubiquiti LiteBeam AC Gen2","7 days, 18:10:25","177","5",
"ve7ku-500-landfill-link","49.2736409","-124.6338549","","VE7KU Link to landfill","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","30 days, 5:59:35","173","5",
"ve7na-808wing-mtbenson","49.15259","-123.96651","CN89ad","VE7NA - 808 Wing - MT Benson SE MikroTik Dish","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD-XL","8 days, 10:27:42","172","5",
"ve7na-808wing-sectorn","49.15301","-123.96616","CN89ad","808 Wing Sector Antenna N","3.25.10.0","1.14","Ubiquiti Rocket M (XM)","8 days, 10:27:57","184","10",
"ve7na-radio-room","49.152574","-123.966388","","VE7NA - 808 Wing Hap Ac3 Radio Room Node","3.25.10.0","1.14","MikroTik hAP ac3","8 days, 10:28:49","-2","10",
"ve7na-vancouver-island-supernode","49.15306","-123.96714","CN89ad","Nanaimo Amateur Radio Association - 808 Wing Supernode","3.25.10.0","1.14","MikroTik hAP ac2","63 days, 22:59:19","","",
"ve7odg-ar750-1","49.13049","-123.92425","CN89ad","","3.25.5.1","1.14","GL.iNet GL-AR750","1 days, 5:03:03","","",
"ve7ook-pbe-m5-3","","","","","3.25.8.0","1.14","Ubiquiti Rocket M5 (XW)","1 days, 6:10:06","181","20",
"ve7pmd-hapac3-1","49.23505","-124.02722","CN79xf","PBX EXT 2218, Direct IP 10.212.188.50","3.25.10.0","1.14","MikroTik hAP ac3","10 days, 1:59:26","","",
"ve7ptn-hap-1","49.226","-123.959","CN89af","MikroTik RouterBOARD RB952Ui-5ac2nD. Permanently installed in my radio room at QTH.","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","61 days, 14:26:47","-2","10",
"ve7ptn-lhg-1","49.226","-123.959","CN89af","MikroTik RouterBOARD LHG 5HPnD-XL. Permanently installed at my QTH; RF link via Sechelt.","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD-XL","31 days, 2:19:59","144","10",
"ve7sce-hap-1","49.453465","-123.710734","CN89dk","","3.25.10.0","1.14","MikroTik hAP ac3","1 days, 5:19:16","-2","10",
"ve7sce-lhg-1","49.45339","-123.71036","CN89dk","","3.25.10.0","1.14","MikroTik LHG 5 ac XL (RBLHGG-5acD-XL)","1 days, 5:19:53","133","5",
"ve7sce-mant-1","49.45346","-123.71073","CN89dk","120° Sector","3.25.10.0","1.14","MikroTik RouterBOARD 921GS-5HPacD-19s","1 days, 5:19:59","144","10",
"ve7sce-rckt-1","49.45343","-123.71075","CN89dk","60° Sector","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","1 days, 5:20:01","166","10",
"ve7sst-home","56.41398","-121.16638","CO96kj","","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","20 days, 20:25:06","149","10",
"ve7sst-nsm5","56.41388","-121.16635","","","3.25.10.0","1.14","Ubiquiti Nanostation M (XW)","17 days, 4:15:39","149","10",
"ve7tfm-502","49.27064","-124.81466","CN79og","","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","1 days, 6:08:44","181","20",
"ve7tom-hap","49.28569","-124.21411","CN79vg","","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","0 days, 21:33:21","-2","20",
"ve7top-5hacd2hnd-b","49.24660","-124.02998","CN79xf","","3.25.10.0","1.14","MikroTik hAP ac3","16 days, 9:24:43","","",
"ve7top-benson-feed","49.244808","-124.031224","","VE7TOP- Benson Feed RBLHD5HPND2","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD","16 days, 9:23:42","133","5",
"ve7top-hac3","49.17965","-122.84284","CN89ne","Mikrotik hAP AC3 - Concord Tower Surrey BC","3.25.10.0","1.14","MikroTik hAP ac3","38 days, 11:06:47","","",
"ve7urc-500-oldpo","49.235036","-124.805504","CN79of","","3.24.10.0","1.13","Ubiquiti Rocket M5 (XW)","32 days, 6:48:14","181","20",
"ve7urc-oldpo-north","49.235036","-124.805504","CN79of","","3.21.4.0","1.8","Ubiquiti Bullet M","161 days, 22:41:01","-1","20",
"ve7urc-oldpo-ve7bce","49.23501","-124.80560","CN79of","","3.25.5.1","1.14","Ubiquiti Bullet M (XM AR7241)","167 days, 9:58:15","-2","10",
"ve7urc-to-ve7emo","49.235100","-124.805632","","Link from OldPO to EMO","3.25.10.0","1.14","Ubiquiti Nanobeam M5 19","64 days, 23:45:00","178","10",
"ve7vpg-hap-ac3-1","49.67347","-124.93893","CN79mq","","3.25.10.0","1.14","MikroTik hAP ac3","9 days, 4:20:50","","",
"ve7vpg-mtw-se","49.75275","-125.29637","CN79is","Mount Washington summit Southeast","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","6 days, 19:44:04","131","5",
"ve7zdh-halow-ht-1","49.4777","-123.75935","","Sechelt, BC","babel-20251128-d51a037","2.0","MorseMicro EKH03-03","0 days, 10:55","33","1",
"ve7zdh-halow-ht-2","49.4777","-123.75945","","Sechelt, BC","babel-20251128-d51a037","2.0","MorseMicro EKH03-03","0 days, 10:54","33","1",
"ve7zdh-tube-1","49.4777","-123.75945","","Sechelt, BC","babel-20251216-5703ad1e","2.0","ALFA Network Tube-AHM R0C","0 days, 15:44","33","1",
"ve7zdh-wrt-1","49.47760","-123.75925","CN89cl","Sechelt, BC","3.25.10.0","1.14","OpenWrt One","37 days, 12:59:19","","",
