Node,Lat,Lon,Grid Square,Desc,Firmware,API,Description,Uptime,Channel,Bandwidth 
"va7gfd-radio-room-link","49.176342","-123.834678","CN89be","RADIO ROOM LINK TO OLD FIRE HALL","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","5 days, 2:26:32","172","5",
"va7itr-rtr-1","","","","","3.25.10.0","1.14","MikroTik hAP ac3","37 days, 15:23:37","","",
"va7jdj-1","49.24464","-123.03369","CN89lf","Test 1st ARDEN node","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","43 days, 17:50:25","","",
"va7jdj-conc","49.17993","-122.84334","CN89ne","","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","21 days, 7:36:08","172","5",
"va7jjr-hap-1","49.44608","-123.71788","CN89dk","My Home node","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","72 days, 1:07:31","149","10",
"va7lsp-hapac3-1","49.48283","-123.76387","CN89cl","Sechelt, BC","3.25.10.0","1.14","MikroTik hAP ac3","34 days, 1:24:49","133","10",
"va7mpg-dish1","49.170893","-123.779984","CN89ce","GABRIOLA ISLAND BC CHANNEL 144","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","5 days, 2:28:37","144","10",
"va7mpg-hap-1","49.17224","-123.78014","CN89ce","VA7MPG-HAP-1","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","5 days, 2:29:42","","",
"va7nic-500-hamshack","49.22518","-124.79135","CN79of","5g Powerbeam @ VA7NIC","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","16 days, 1:59:15","3425","20",
"va7nm-cpe710-1","49.90835","-125.18937","CN79jv","","3.25.10.0","1.14","TP-Link CPE710 v2","35 days, 4:35:08","170","5",
"va7nm-cpe710-2","49.90690","-125.18904","CN79jv","","3.25.10.0","1.14","TP-Link CPE710 v2","24 days, 23:11:29","170","5",
"va7nm-mtw-ne","49.75283","-125.29657","CN79is","Mount Washington Summit NorthEast","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","44 days, 14:54:23","144","5",
"va7nm-shack","49.90408","-125.19826","CN79jv","","3.25.10.0","1.14","QEMU Standard PC (Q35 + ICH9, 2009)","19 days, 14:47:21","","",
"va7pam-500-landfill-east","49.256491","-124.861414","","VA7PAM LandFill East 90 deg Sector Antenna","3.25.5.1","1.14","Ubiquiti Rocket 5AC Lite","29 days, 15:09:08","181","20",
"va7pam-500-landfilleast","49.256491","-124.861414","","VA7PAM LandFill East 90 deg Sector Antenna","3.25.5.1","1.14","Ubiquiti Rocket 5AC Lite","29 days, 15:09:08","181","20",
"va7pam-500-ve7ku-link","49.256491","-124.861414","","Alberni Valley Landfill to VE7KU Mt Cokley","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","36 days, 0:27:52","173","5",
"va7pam-501-landfill-north","49.256491","-124.861414","CN79ng","","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","30 days, 22:08:55","178","20",
"va7rjq-hap-1","49.50","-123.78","CN89cm","","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","6 days, 16:32:32","-2","10",
"va7tuf-hap-1","48.81353","-123.45260","CN88gt","MID-ISLAND-AREDN-NETWORK","3.25.5.1","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","3 days, 21:22:00","","",
"va7tuf-hap-2","49.166894","-124.003395","","NANAIMO RV","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","10 days, 23:45:29","","",
"va7uld-hap-yvr1","49.23176","-122.90023","CN89nf","va7ul@va7ul.ca, New Westminster BC","3.25.10.0","1.14","MikroTik hAP ac3","34 days, 20:42:58","","",
"va7uld-hap-yvr2","49.23176","-122.90023","CN89nf","MeshPhone#2234, va7ul@va7ul.ca, New Westminster BC","3.25.10.0","1.14","MikroTik hAP ac3","60 days, 21:37:26","","",
"va7uld-xl5-yvr3","49.23176","-122.90023","CN89nf","MikroTik LHG-XL5ac,  New Westminster, BC.","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD-XL","31 days, 4:43:50","","",
"va7wpm-hap-1","49.234683","-123.973190","","","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","25 days, 20:50:00","-2","10",
"va7wtb-benson-link","49.237039","-123.858177","","","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","5 days, 2:41:51","172","5",
"va7wtb-hap","49.16541","-123.85820","CN89bd","","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","5 days, 2:42:58","","",
"ve3xbi-mount-albert","44.16894","-79.31600","FN04ie","VE3XBI Mobile Radio","3.25.10.0","1.14","Ubiquiti LiteBeam AC Gen2","13 days, 12:41:01","149","10",
"ve7ahe-2g-airgrid","49.28402","-124.84414","CN79ng","Portable 2.4 grid for Ecomm Trailer","3.25.5.1","1.14","Ubiquiti Bullet M (XM AR7241)","110 days, 3:40:48","-2","10",
"ve7ahe-501","49.28341","-124.84470","CN79ng","AHE E-Comm Trailer","3.25.10.0","1.14","Ubiquiti PowerBeam M5 (XW)","71 days, 0:50:39","149","20",
"ve7bef-hap-1","49.17183","-123.78053","CN89ce","Local node on Gabriola island","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","5 days, 2:22:37","","",
"ve7bef-sxt5hp-link","49.17182","-123.78054","CN89ce","Link to VA7MPG-DISH1","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD","5 days, 2:21:30","144","10",
"ve7cvw-5g30-1","49.71052","-124.97125","CN79mr","Comox Valley Amateur Radio Club Dish Antenna","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","28 days, 2:47:38","131","5",
"ve7cvw-hapac3-1","49.71052","-124.97125","CN79mr","Comox Valley Amateur Radio Club","3.25.10.0","1.14","MikroTik hAP ac3","28 days, 2:48:16","","",
"ve7dnr-woodley-erskine-link","49.018855","-123.823735","CN89ca","This node links Ladysmith to Salt Spring Island.","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD","4 days, 22:19:11","135","5",
"ve7dnr-woodley-range-nw","49.018959","-123.823814","CN89ca","120 DEGREE SECTOR LOOKING AT LADYSMITH AND NORTH WEST. CH 160 5 MHZ BW","3.25.10.0","1.14","MikroTik RouterBOARD 912UAG-5HPnD","66 days, 17:43:22","160","5",
"ve7dnr-woodley-range-sw","49.018846","-123.823729","CN89ca","120 DEGREE SECTOR LOOKING AT LADYSMITH AND SOUTH. CH 184 5 MHZ BW","3.25.10.0","1.14","MikroTik RouterBOARD 912UAG-5HPnD","66 days, 16:21:05","184","5",
"ve7emo-to-ve7urc","49.233559","-124.805492","","EMO Radio Room","3.25.10.0","1.14","Ubiquiti Nanostation Loco M (XW)","18 days, 6:24:16","178","10",
"ve7gde-hap-1","49.212803","-123.994617","CN89af","MID-ISLAND-AREDN-NETWORK","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","3 days, 4:20:46","","",
"ve7kgv-hap-1","49.30333","-124.34113","CN79th","","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","52 days, 10:13:36","","",
"ve7kod-ap","49.3135","-124.313","CN79uh","Home Access Point for AREDN Network","20250928-dadf66e3","1.14","MikroTik hAP ac3","13 days, 11:59:11","","",
"ve7kod-benson","49.3133","-124.3135","","Link to Mt Benson North East sector","20250928-dadf66e3","1.14","Ubiquiti PowerBeam 5AC Gen2","13 days, 11:58:28","133","5",
"ve7kod-cokley","49.3136","-124.3135","CN79uh","Parksville BC Link to Mt Cokley NE - MIR-KU","20250928-dadf66e3","1.14","Ubiquiti LiteBeam AC Gen2","13 days, 11:58:24","177","5",
"ve7ku-500-landfill-link","49.2736409","-124.6338549","","VE7KU Link to landfill","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","35 days, 23:47:35","173","5",
"ve7lse-hap-1","49.017118","-123.824433","CN89ca","MID-ISLAND-AREDN-NETWORK","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","5 days, 16:51:25","","",
"ve7lse-woodley-link","49.017551","-123.824844","CN89ca","","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD-XL","5 days, 16:50:20","184","5",
"ve7na-808wing-mtbenson","49.15259","-123.96651","CN89ad","VE7NA - 808 Wing - MT Benson SE MikroTik Dish","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD-XL","14 days, 4:15:35","172","5",
"ve7na-808wing-sectorn","49.15301","-123.96616","CN89ad","808 Wing Sector Antenna N","3.25.10.0","1.14","Ubiquiti Rocket M (XM)","14 days, 4:15:55","184","10",
"ve7na-lost-lake-mt-benson-link","49.227039","-123.986911","","LINK FROM LOST LAKE TO MT BENSON","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD","42 days, 0:11:55","172","5",
"ve7na-lost-lake-ne","49.227085","-123.988330","","VE7NA-RocketM5-3  Ubiquiti 60 Degree Sector","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","42 days, 0:12:23","178","10",
"ve7na-mt-benson-nw","49.1499","-124.050934","","Mount Benson 120 Degree Sector North West","3.25.8.0","1.14","Ubiquiti Rocket 5AC Lite","43 days, 2:57:11","133","5",
"ve7na-mt-benson-se","49.149815","-124.050796","","Mount Benson SE 120 Degree South East BW 5 Mhz Ch 172","3.25.8.0","1.14","Ubiquiti Rocket 5AC Lite","0 days, 10:08:39","172","5",
"ve7na-radio-room","49.152574","-123.966388","","VE7NA - 808 Wing Hap Ac3 Radio Room Node","3.25.10.0","1.14","MikroTik hAP ac3","14 days, 4:16:46","-2","10",
"ve7na-vancouver-island-supernode","49.15306","-123.96714","CN89ad","Nanaimo Amateur Radio Association - 808 Wing Supernode","3.25.10.0","1.14","MikroTik hAP ac2","69 days, 16:47:14","","",
"ve7odg-ar750-1","49.13049","-123.92425","CN89ad","","3.25.5.1","1.14","GL.iNet GL-AR750","6 days, 22:50:59","","",
"ve7ook-pbe-m5-3","","","","","3.25.8.0","1.14","Ubiquiti Rocket M5 (XW)","6 days, 23:58:03","181","20",
"ve7pmd-hapac3-1","49.23505","-124.02722","CN79xf","PBX EXT 2218, Direct IP 10.212.188.50","3.25.10.0","1.14","MikroTik hAP ac3","15 days, 19:47:26","","",
"ve7ptn-hap-1","49.226","-123.959","CN89af","MikroTik RouterBOARD RB952Ui-5ac2nD. Permanently installed in my radio room at QTH.","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","67 days, 8:14:25","-2","10",
"ve7ptn-lhg-1","49.226","-123.959","CN89af","MikroTik RouterBOARD LHG 5HPnD-XL. Permanently installed at my QTH; RF link via Sechelt.","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD-XL","3 days, 17:33:08","144","10",
"ve7sce-hap-1","49.453465","-123.710734","CN89dk","","3.25.10.0","1.14","MikroTik hAP ac3","4 days, 12:06:47","-2","10",
"ve7sce-lhg-1","49.45339","-123.71036","CN89dk","","3.25.10.0","1.14","MikroTik LHG 5 ac XL (RBLHGG-5acD-XL)","4 days, 12:07:25","133","5",
"ve7sce-mant-1","49.45346","-123.71073","CN89dk","120° Sector","3.25.10.0","1.14","MikroTik RouterBOARD 921GS-5HPacD-19s","4 days, 12:07:30","144","10",
"ve7sce-rckt-1","49.45343","-123.71075","CN89dk","60° Sector","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","4 days, 12:07:36","166","10",
"ve7sst-home","56.41398","-121.16638","CO96kj","","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","26 days, 14:12:43","149","10",
"ve7sst-nsm5","56.41388","-121.16635","","","3.25.10.0","1.14","Ubiquiti Nanostation M (XW)","22 days, 22:03:37","149","10",
"ve7tbp-hap-1","49.39452","-123.53401","","","babel-20251217-ccba396b","2.0","MikroTik hAP ac3","2 days, 1:14","","",
"ve7tfm-502","49.27064","-124.81466","CN79og","","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","6 days, 23:56:44","181","20",
"ve7tom-hap","49.28569","-124.21411","CN79vg","","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","6 days, 15:21:00","-2","20",
"ve7top-5hacd2hnd-b","49.24660","-124.02998","CN79xf","","3.25.10.0","1.14","MikroTik hAP ac3","22 days, 3:12:40","","",
"ve7top-benson-feed","49.244808","-124.031224","","VE7TOP- Benson Feed RBLHD5HPND2","3.25.10.0","1.14","MikroTik RouterBOARD LHG 5HPnD","22 days, 3:11:36","133","5",
"ve7top-hac3","49.17965","-122.84284","CN89ne","Mikrotik hAP AC3 - Concord Tower Surrey BC","3.25.10.0","1.14","MikroTik hAP ac3","44 days, 4:54:48","","",
"ve7urc-500-oldpo","49.23505","-124.80537","CN79of","","3.25.5.1","1.14","Ubiquiti Rocket M5 (XW)","2 days, 2:11:34","181","20",
"ve7urc-oldpo-north","49.235036","-124.805504","CN79of","","3.21.4.0","1.8","Ubiquiti Bullet M","167 days, 16:28:55","-1","20",
"ve7urc-oldpo-ve7bce","49.23501","-124.80560","CN79of","","3.25.5.1","1.14","Ubiquiti Bullet M (XM AR7241)","173 days, 3:46:08","-2","10",
"ve7urc-to-ve7emo","49.235100","-124.805632","","Link from OldPO to EMO","3.25.10.0","1.14","Ubiquiti Nanobeam M5 19","70 days, 17:33:00","178","10",
"ve7vpg-hap-ac3-1","49.67347","-124.93893","CN79mq","","3.25.10.0","1.14","MikroTik hAP ac3","14 days, 22:08:51","","",
"ve7vpg-mtw-se","49.75275","-125.29637","CN79is","Mount Washington summit Southeast","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","12 days, 13:32:10","131","5",
"ve7zdh-wrt-1","49.47760","-123.75925","CN89cl","Sechelt, BC","3.25.10.0","1.14","OpenWrt One","43 days, 6:45:20","","",
